from_slug,to_slug,type,note
carbon-management-specialist,esg-sustainability-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
carbon-management-specialist,hse-engineer,adjacent,碳管理与企业安全环保职能相邻
esg-sustainability-specialist,carbon-management-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
esg-sustainability-specialist,hse-engineer,adjacent,ESG环境维度与HSE职能重合
esg-sustainability-specialist,investor-relations-specialist,adjacent,ESG披露与投资者关系联动
it-helpdesk-support,network-engineer,adjacent,桌面运维与企业网络运维相邻
it-helpdesk-support,devops-sre,adjacent,IT支持向运维工程进阶路径
operations,user-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
operations,content-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
user-operations,community-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
user-operations,membership-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
user-operations,growth,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
community-operations,user-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
community-operations,newmedia,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
content-operations,newmedia,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
content-operations,platform-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
content-operations,copywriter,adjacent,内容运营与文案策划技能重合
newmedia,content-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
newmedia,live-streaming-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
newmedia,copywriter,adjacent,新媒体运营核心产出是文案
live-streaming-operations,ecommerce-ops,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
live-streaming-operations,newmedia,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ecommerce-ops,live-streaming-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
ecommerce-ops,cross-border-ecommerce,adjacent,境内/跨境电商运营互为相邻
ecommerce-ops,membership-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
membership-operations,user-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
membership-operations,crm-specialist,adjacent,会员运营与CRM同为存量用户经营
event-operations,event-marketing,adjacent,活动运营与活动市场职责相邻
event-operations,community-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
game-operations,game-design,adjacent,游戏运营与策划共处游戏生命周期
game-operations,user-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
growth,user-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
growth,marketing-digital-performance,adjacent,增长与效果营销手段重合
growth,data-analyst,adjacent,增长运营重度依赖数据分析
platform-operations,content-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
platform-operations,legal-internet-compliance,adjacent,内容安全与互联网合规联动
product-manager,product-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager,strategy-product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager,backend,adjacent,产品经理与后端开发为需求上下游相邻岗
product-operations,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-operations,user-operations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
strategy-product-manager,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
strategy-product-manager,recommendation-strategy-analyst,adjacent,策略PM与推荐策略分析岗技能重合
data-product-manager,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
data-product-manager,bi-engineer,adjacent,数据产品经理与BI工程师协作紧密
data-product-manager,data-analyst,adjacent,数据PM需数据分析能力
product-manager-b2b-saas,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager-b2b-saas,sales-saas,adjacent,B2B SaaS PM与SaaS销售同一商业链路
product-manager-fintech,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager-fintech,backend-fintech,adjacent,金融科技PM与金融科技研发同域
product-manager-hardware-iot,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager-hardware-iot,rd-hardware-engineer,adjacent,硬件PM与硬件研发同域
product-manager-healthcare,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager-healthcare,product-manager-b2b-saas,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager-industrial-software,product-manager,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
product-manager-industrial-software,product-manager-b2b-saas,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp,org-development,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp,employee-relations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp,recruiter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp-manufacturing,hrbp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp-manufacturing,recruiter-blue-collar,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp-retail-chain,hrbp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hrbp-retail-chain,hrbp-manufacturing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter,recruiting-coordinator,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter,recruitment-consultant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter,employer-branding-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter-blue-collar,recruiter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter-blue-collar,hrbp-manufacturing,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter-tech-specialized,recruiter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiter-tech-specialized,recruitment-consultant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiting-coordinator,recruiter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruiting-coordinator,executive-assistant,adjacent,协调类岗位技能相邻
recruitment-consultant,recruiter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
recruitment-consultant,sales,adjacent,猎头有强销售属性,技能高度重合
compensation,compensation-equity-incentive-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
compensation,hr-ssc,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
compensation,hr-data-analyst,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
compensation-equity-incentive-specialist,compensation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
compensation-equity-incentive-specialist,legal,adjacent,股权激励设计涉及法务协作
employee-relations,labor-relations-specialist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
employee-relations,hrbp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
labor-relations-specialist,employee-relations,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
labor-relations-specialist,legal,adjacent,劳动关系处理与法务边界相邻
employer-branding-specialist,recruiter,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
employer-branding-specialist,brand-pr,adjacent,雇主品牌与品牌公关方法论同源
expat-mobility-specialist,hr-ssc,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
expat-mobility-specialist,compensation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-data-analyst,compensation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-data-analyst,data-analyst,adjacent,人力数据分析与通用数据分析技能同源
hr-director,hrbp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-director,org-development,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-ssc,hr-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-ssc,compensation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-ssc,recruiting-coordinator,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-trainee,hrbp,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
hr-trainee,hr-ssc,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
