from_slug,to_slug,type,note
community-social-worker,civil-servant-generalist,adjacent,社工与基层公务员服务场景重叠
meteorological-bureau-staff,civil-servant-generalist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
state-owned-enterprise-management-trainee,soe-power-grid-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
state-owned-enterprise-management-trainee,civil-servant-generalist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-power-grid-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-power-grid-management-trainee,power-grid-engineer,adjacent,电网管培的技术序列即电网工程
soe-power-generation-management-trainee,soe-power-grid-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-power-generation-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-petroleum-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-petroleum-management-trainee,oil-gas-field-engineer,adjacent,石油系统管培的技术序列即油气田工程
soe-tobacco-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-tobacco-management-trainee,civil-servant-generalist,adjacent,烟草系统与考公在应届生认知里互为对照
soe-railway-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-railway-management-trainee,rail-transit-operations,adjacent,铁路管培与轨交运营岗同域
soe-postal-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-postal-management-trainee,courier-station-manager,adjacent,邮政与快递网点运营同处寄递业
soe-telecom-operators-management-trainee,state-owned-enterprise-management-trainee,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
soe-telecom-operators-management-trainee,telecom-network-engineer,adjacent,运营商校招的技术序列即通信工程
civil-servant-generalist,selected-graduate,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
civil-servant-generalist,tax-bureau-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
civil-servant-generalist,community-social-worker,adjacent,基层公务员与社工服务场景重叠
csrc-officer,pboc-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
csrc-officer,securities-compliance,adjacent,证监序列与证券合规知识同源
customs-inspection-officer,customs-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customs-inspection-officer,customs-broker-declarant,adjacent,商检与报关同处通关链条
customs-officer,customs-inspection-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
customs-officer,immigration-inspection-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
firefighter-rescue,public-security-police,adjacent,消防与公安同为纪律部队序列
firefighter-rescue,hse-engineer,adjacent,消防救援与企业安全工程知识相邻
immigration-inspection-officer,customs-officer,adjacent,边检与海关同处口岸执法
immigration-inspection-officer,public-security-police,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
maritime-safety-officer,shipping-operations-specialist,adjacent,海事监管与船务操作同处航运链
maritime-safety-officer,civil-servant-generalist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pboc-officer,csrc-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
pboc-officer,banking,adjacent,央行序列与商业银行知识同源
public-security-police,prison-police,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
public-security-police,immigration-inspection-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
public-security-police,firefighter-rescue,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
selected-graduate,civil-servant-generalist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
selected-graduate,state-owned-enterprise-management-trainee,adjacent,选调与央国企管培互为应届择业对照
tax-bureau-officer,civil-servant-generalist,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
tax-bureau-officer,tax,adjacent,税务局岗与企业税务知识互为镜像
court-enforcement-officer,public-security-police,adjacent,执行与公安同具执法属性
prison-police,public-security-police,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
rural-special-post-teacher,selected-graduate,adjacent,特岗与选调同为应届基层定向项目
public-sector-accountant,civil-servant-generalist,adjacent,"公共部门会计与综合管理类公务员同属行政事业单位编制体系,报考渠道部分重叠"
public-sector-accountant,accountant-gl,adjacent,"公共部门会计与企业会计核算技能栈同源(记账/报表/预算),组织性质(财政系统vs企业)是差异层承接"
court-enforcement-officer,judge-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
judge-assistant,prosecutor-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
judge-assistant,lawyer-litigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
judge-assistant,court-enforcement-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
lawyer-litigation,judge-assistant,adjacent,诉讼律师与法院系统互为流动通道
notary-public,judge-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prison-police,court-enforcement-officer,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prosecutor-assistant,judge-assistant,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
prosecutor-assistant,lawyer-litigation,adjacent,同L1族相邻岗(注册表草案,详细差异待边界层论证)
