alias,slug,weight
人力资源业务伙伴,hrbp,1
C&B,compensation,1
薪酬专员,compensation,1
OD,org-development,1
组织发展专员,org-development,1
ER,employee-relations,1
HR SSC,hr-ssc,1
人事共享服务,hr-ssc,1
招聘专员,recruiter,1
校园招聘专员,recruiter,1
猎头,recruitment-consultant,1
猎头顾问,recruitment-consultant,1
雇主品牌,employer-branding-specialist,1
HRD,hr-director,1
产品经理,product-manager,1
AI PM,ai-product-manager,1
AIPM,ai-product-manager,1
用户增长,growth,1
增长黑客,growth,0.8
内容审核,platform-operations,0.8
KA经理,key-account-manager,1
SDR,sales-development-rep,1
公关专员,brand-pr,1
SEM专员,seo-sem-specialist,1
SEO专员,seo-sem-specialist,1
投放优化师,ad-optimizer,1
信息流优化师,ad-optimizer,1
市场专员,marketing,1
UXR,ux-research,1
CRM专员,crm-specialist,1
法务专员,legal,1
数据合规,compliance-privacy,1
专利工程师,ip-patent,1
法助,paralegal,0.8
FP&A,fpa-analyst,1
财务分析师,fpa-analyst,1
总账会计,accountant-gl,1
应付会计,accounts-payable,1
应收会计,accounts-receivable,1
四大审计,auditor-firm,0.8
内审专员,internal-audit,1
资金专员,treasury,1
税务专员,tax,1
Controller,financial-controller,1
后端工程师,backend,1
服务端开发,backend,1
Java开发,backend,0.8
前端工程师,frontend,1
Web前端,frontend,1
全栈工程师,full-stack-dev,1
安卓开发,mobile-android-dev,1
Android工程师,mobile-android-dev,1
iOS工程师,mobile-ios-dev,1
测开,test-dev,0.8
测试开发工程师,test-dev,1
功能测试,qa-manual-tester,0.8
嵌入式开发,embedded,1
单片机开发,embedded,0.8
中间件工程师,infra-middleware,0.8
Unity开发,game-client-engineer,0.8
游戏服务器开发,game-server-engineer,1
SRE,devops-sre,1
运维工程师,devops-sre,1
网工,network-engineer,0.8
安全工程师,security,1
数据库工程师,database-administrator,0.8
云计算工程师,cloud-platform-engineer,0.8
解决方案架构师,cloud-solutions-architect,0.8
数据分析,data-analyst,1
算法工程师,algorithm,1
机器学习工程师,algorithm,0.8
CV算法,computer-vision-engineer,1
CV工程师,computer-vision-engineer,1
NLP算法,nlp-algorithm-engineer,1
NLP工程师,nlp-algorithm-engineer,1
推荐算法,recsys-ads-algo,1
搜索算法,recsys-ads-algo,1
广告算法,recsys-ads-algo,1
大数据工程师,bigdata-eng,1
数仓工程师,data-warehouse-dev,1
ETL工程师,data-warehouse-dev,1
数字前端设计,ic-design-digital-engineer,0.8
模拟IC设计,ic-design-analog-engineer,1
IC验证,ic-verification-engineer,1
版图设计,ic-layout-engineer,1
FPGA,fpga-engineer,0.8
IE工程师,industrial-engineer-ie,1
制程工程师,semiconductor-process-engineer,1
SQE,quality-engineer,1
设备工程师,equipment-engineer-manufacturing,1
PLC工程师,plc-control-engineer,1
硬件工程师,rd-hardware-engineer,1
PMC,pmc-production-planning,1
生产计划员,pmc-production-planning,1
数据标注,ai-training-data-annotator,1
AIGC运营,ai-content-operations,1
大模型微调,llm-fine-tuning-engineer,1
Prompt工程师,prompt-engineer,1
投资银行,investment-banking,1
行研,securities-research,0.8
行业研究员,securities-research,1
卖方研究,securities-research-sellside,1
买方研究,securities-research-buyside,1
量化研究员,quant,1
量化交易,quant,1
理财经理,bank-wealth-manager,1
柜员,bank-teller,1
对公客户经理,bank-corporate-account-manager,1
精算师,actuary,1
核保,insurance-underwriter,0.8
理赔专员,insurance-claims-adjuster,1
风控专员,risk-management,1
RA,regulatory-affairs-pharma,0.8
PV,pharmacovigilance-specialist,0.8
医学信息沟通专员,medical-rep,1
护士,registered-nurse,1
规培,clinical-physician,0.8
辅导员,university-teaching-assistant,0.8
书记员,judge-assistant,1
UI设计师,designer,1
平面设计师,visual-design,1
原画师,game-art,1
3D设计师,three-d-design,1
动效设计,motion-design,1
剪辑师,video-editor,1
工业设计师,industrial-design,1
采购专员,procurement,1
货代,freight-forwarder,0.8
投拓,real-estate-investment-expansion,0.8
造价员,cost-engineer-quantity-surveyor,1
置业顾问,sales-real-estate-agent-newhome,1
监理,construction-supervision-engineer,0.8
咨询顾问,consulting,1
战略分析师,corporate-strategy,0.8
BA,business-analyst,0.8
教研员,education-curriculum-designer,1
呼叫中心客服,customer-service-rep,1
CSM,customer-success,0.8
行政专员,admin,1
前台,front-desk-receptionist,1
