slug,name,l0,l1_family,l2_scene,l3_flag,status,access_category
soe-petroleum-management-trainee,石油系统管培生(中石油/中石化校招统考),公共制度,国企专属体系,,0,parked,国企
soe-postal-management-trainee,中国邮政校招生(邮政系统),公共制度,国企专属体系,,0,parked,国企
soe-power-generation-management-trainee,发电集团校招生(五大发电央企),公共制度,国企专属体系,,0,parked,国企
soe-power-grid-management-trainee,电网系统管培生(国网/南网统考),公共制度,国企专属体系,,0,parked,国企
soe-railway-management-trainee,铁路系统管培生(铁路局集团校招统考),公共制度,国企专属体系,,0,parked,国企
soe-telecom-operators-management-trainee,通信运营商校招生(移动/联通/电信),公共制度,国企专属体系,,0,parked,国企
soe-tobacco-management-trainee,烟草系统管培生(烟草专卖统一考试),公共制度,国企专属体系,,0,parked,国企
civil-servant-generalist,"公务员(综合管理类,含乡镇岗)",公共制度,公务员,,0,parked,考公
csrc-officer,证监会系统公务员(国考财经特殊序列),公共制度,公务员,,0,parked,考公
customs-inspection-officer,海关商检/检验检疫官,公共制度,公务员,,0,parked,考公
customs-officer,海关关员,公共制度,公务员,,0,parked,考公
firefighter-rescue,消防员(国家综合性消防救援队伍),公共制度,公务员,,0,parked,考公
immigration-inspection-officer,出入境边防检查民警(国家移民管理局),公共制度,公务员,,0,parked,考公
maritime-safety-officer,海事局公务员(直属海事系统),公共制度,公务员,,0,parked,考公
pboc-officer,中国人民银行招考岗(央行分支机构),公共制度,公务员,,0,parked,考公
public-security-police,公安民警,公共制度,公务员,,0,parked,考公
selected-graduate,选调生(定向/集中选调),公共制度,公务员,,0,parked,考公
tax-bureau-officer,税务系统公务员(国考税务局岗),公共制度,公务员,,0,parked,考公
public-sector-accountant,公共部门会计(行政事业单位/财政系统),公共制度,公务员,,0,parked,考公
court-enforcement-officer,法院执行局执行员,公共制度,司法系统,,0,parked,考公
judge-assistant,法院书记员/法官助理,公共制度,司法系统,,0,parked,考公
prosecutor-assistant,检察院检察官助理,公共制度,司法系统,,0,parked,考公
prison-police,监狱人民警察(省考司法行政系统),公共制度,司法系统,,0,parked,考公
